Trial,Date,Time,Parameter,Threshold,Actual_Value,Expected_Alert,Actual_Alert,AirTemp_C,Humidity_pct,Rainfall_mm,WindSpeed_kmh,Weather_Condition,Status
24,2026-04-28,5:20 PM,DO,>= 5.0 mg/L,6.75 mg/L,No Alert,No Alert,31.6,53,0.00,13.9,Overcast,Pass
25,2026-04-28,5:30 PM,DO,>= 5.0 mg/L,6.47 mg/L,No Alert,No Alert,31.6,53,0.00,13.9,Overcast,Pass
26,2026-04-28,5:40 PM,DO,>= 5.0 mg/L,6.26 mg/L,No Alert,No Alert,31.6,53,0.00,13.9,Overcast,Pass
27,2026-04-28,5:50 PM,DO,>= 5.0 mg/L,6.33 mg/L,No Alert,No Alert,31.6,53,0.00,13.9,Overcast,Pass
28,2026-04-28,6:00 PM,DO,>= 5.0 mg/L,6.33 mg/L,No Alert,No Alert,30.0,59,0.00,13.1,Mainly Clear,Pass
29,2026-04-28,6:10 PM,DO,>= 5.0 mg/L,6.07 mg/L,No Alert,No Alert,30.0,59,0.00,13.1,Mainly Clear,Pass
30,2026-04-28,6:20 PM,DO,>= 5.0 mg/L,5.96 mg/L,No Alert,No Alert,30.0,59,0.00,13.1,Mainly Clear,Pass
31,2026-04-28,6:30 PM,DO,>= 5.0 mg/L,5.75 mg/L,No Alert,No Alert,30.0,59,0.00,13.1,Mainly Clear,Pass
32,2026-04-28,6:40 PM,DO,>= 5.0 mg/L,5.70 mg/L,No Alert,No Alert,30.0,59,0.00,13.1,Mainly Clear,Pass
33,2026-04-28,6:50 PM,DO,>= 5.0 mg/L,5.47 mg/L,No Alert,No Alert,30.0,59,0.00,13.1,Mainly Clear,Pass
34,2026-04-28,7:00 PM,DO,>= 5.0 mg/L,5.51 mg/L,No Alert,No Alert,28.7,65,0.00,8.8,Clear Sky,Pass
